,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BS,[B,mulnn,[C,[K,subnn,1],0]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]",egg_num,num,program,0.0,3.0,-28.34320187520143
25,"[BS,[B,mulnn,[C,[K,subnn,2],1]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]",egg_num,num,program,0.0,3.0,-28.34320187520143
26,"[BS,[B,mulnn,[C,[K,subnn,3],2]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]",egg_num,num,program,0.0,3.0,-28.34320187520143
27,"[BS,[B,mulnn,[C,[K,subnn,4],3]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]",egg_num,num,program,0.0,3.0,-28.34320187520143
28,"[BS,[B,addnn,[K,[addnn,0],0]],[BS,[B,mulnn,[C,[K,subnn,1],0]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]]",egg_num,num,program,0.0,1.0,-38.61133254132547
29,"[BS,[B,addnn,[K,[addnn,0],0]],[BS,[B,mulnn,[C,[K,subnn,2],1]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]]",egg_num,num,program,0.0,1.0,-38.61133254132547
30,"[BS,[B,addnn,[K,[addnn,0],0]],[BS,[B,mulnn,[C,[K,subnn,3],2]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]]",egg_num,num,program,0.0,1.0,-38.61133254132547
31,"[BS,[B,addnn,[K,[addnn,0],0]],[BS,[B,mulnn,[C,[K,subnn,4],3]],[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[C,[B,subnn,[B,I,I]],0]]],getDot]]]",egg_num,num,program,0.0,1.0,-38.61133254132547
