,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,823.0,-12.5944322857354
25,"[SC,[BB,subnn,[CS,[BK,mulnn,getDot],[B,I,I]]],getStripe]",egg_num,num,program,0.0,288.0,-13.287579466295345
26,"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,394.0,-13.287579466295345
27,"[SC,[BB,subnn,[CB,[B,mulnn,getDot],[B,I,I]]],getStripe]",egg_num,num,program,0.0,804.0,-12.5944322857354
28,"[BB,[mulnn,1],[SC,[BB,subnn,[CB,[B,mulnn,getDot],[B,I,I]]],getStripe]]",egg_num,num,program,0.0,56.0,-18.07507120907739
29,"[BB,[mulnn,1],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,59.0,-18.07507120907739
30,"[BS,[K,addnn,0],[SC,[BB,subnn,[CB,[B,mulnn,getDot],[B,I,I]]],getStripe]]",egg_num,num,program,0.0,28.0,-18.768218389637337
31,"[BS,[K,addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,13.0,-18.768218389637337
32,"[SB,[K,mulnn,1],[SC,[BB,subnn,[CB,[B,mulnn,getDot],[B,I,I]]],getStripe]]",egg_num,num,program,0.0,17.0,-18.768218389637337
33,"[BB,[mulnn,1],[SC,[BB,subnn,[CS,[BK,mulnn,getDot],[B,I,I]]],getStripe]]",egg_num,num,program,0.0,11.0,-18.768218389637337
34,"[CC,[BB,subnn,[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]],0]",egg_num,num,program,0.0,8.0,-19.46136557019728
35,"[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,55.0,-18.07507120907739
