,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BC,[K,subnn,3],getDot]",egg_num,num,program,0.0,2015.0,-6.866933284461883
25,"[BC,[B,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,1817.0,-6.643789733147672
26,"[SS,[BK,mulnn,getStripe],[BC,[K,subnn,3],getDot]]",egg_num,num,program,0.0,4.0,-12.81757583704961
27,"[BS,[K,addnn,0],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,5.0,-12.81757583704961
28,"[SC,[BB,subnn,[KB,I,I]],getDot]",egg_num,num,program,0.0,150.0,-8.723231274827508
29,"[SB,[K,addnn,0],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,5.0,-12.81757583704961
30,"[SB,[K,mulnn,1],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,7.0,-12.81757583704961
31,"[BK,[subnn,3],getDot]",egg_num,num,program,0.0,3760.0,-6.1737861039019375
32,"[CC,[BB,addnn,[BC,[K,subnn,3],getDot]],0]",egg_num,num,program,0.0,2.0,-13.733866568923766
33,"[SK,[K,subnn,3],getDot]",egg_num,num,program,0.0,1932.0,-6.866933284461883
34,"[SC,[KK,subnn,3],getDot]",egg_num,num,program,0.0,848.0,-7.560080465021828
35,"[SC,[KB,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,748.0,-7.336936913707618
36,"[BB,[addnn,0],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,67.0,-11.65442502724393
37,"[SB,[B,mulnn,getStripe],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,51.0,-11.431281475929719
38,"[BB,[mulnn,1],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,4.0,-12.81757583704961
39,"[BS,[K,mulnn,1],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-13.510723017609555
40,"[SB,[B,mulnn,getStripe],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,20.0,-12.124428656489664
