,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SC,[BB,addnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,1.0,-18.768218389637337
25,"[BB,[addnn,0],[SC,[BB,addnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[B,[subnn,0],getDot]]]",egg_num,num,program,0.0,3.0,-24.24885731297933
26,"[SC,[BB,subnn,[SC,[BB,addnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[B,[subnn,0],getDot]]],[K,getDot,Egg(S1,O0)]]",egg_num,num,program,0.0,3.0,-28.630883947653206
27,"[SC,[BB,subnn,[SC,[BB,addnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[B,[subnn,0],getDot]]],[K,getDot,Egg(S2,O0)]]",egg_num,num,program,0.0,2.0,-28.630883947653206
28,"[SC,[BB,subnn,[SC,[BB,addnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[B,[subnn,0],getDot]]],[K,getDot,Egg(S3,O0)]]",egg_num,num,program,0.0,1.0,-28.630883947653206
29,"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[C,[B,subnn,getDot],0]]",egg_num,num,program,0.0,2.0,-18.768218389637333
30,"[SS,[KB,mulnn,[K,[subnn,3],2]],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[C,[B,subnn,getDot],0]]]",egg_num,num,program,0.0,1.0,-29.729496236321317
