exp_id,ix,condition,phase,trial,stripe,dot,segment,prediction,is_groundTruth
1,53,combine,A,4,2,3,3,6,0
1,53,combine,A,5,3,2,3,9,0
1,53,combine,A,6,3,4,2,6,0
1,53,combine,A,7,4,0,3,12,1
1,53,combine,A,8,4,4,4,16,0
1,53,combine,B,1,0,0,3,0,1
1,53,combine,B,2,0,2,1,0,1
1,53,combine,B,3,2,1,3,5,1
1,53,combine,B,4,2,3,3,3,1
1,53,combine,B,5,3,2,3,7,1
1,53,combine,B,6,3,4,2,4,0
1,53,combine,B,7,4,0,3,12,1
1,53,combine,B,8,4,4,4,12,1
1,54,combine,A,1,0,0,3,3,0
1,54,combine,A,2,0,2,1,3,0
1,54,combine,A,3,2,1,3,5,1
1,54,combine,A,4,2,3,3,9,0
1,54,combine,A,5,3,2,3,11,0
1,54,combine,A,6,3,4,2,10,0
1,54,combine,A,7,4,0,3,12,1
1,54,combine,A,8,4,4,4,12,1
1,54,combine,B,1,0,0,3,3,0
1,54,combine,B,2,0,2,1,0,1
1,54,combine,B,3,2,1,3,5,1
1,54,combine,B,4,2,3,3,3,1
1,54,combine,B,5,3,2,3,7,1
1,54,combine,B,6,3,4,2,2,1
1,54,combine,B,7,4,0,3,12,1
1,54,combine,B,8,4,4,4,12,1
1,55,combine,A,1,0,0,3,2,0
1,55,combine,A,2,0,2,1,0,1
1,55,combine,A,3,2,1,3,3,0
1,55,combine,A,4,2,3,3,5,0
1,55,combine,A,5,3,2,3,5,0
1,55,combine,A,6,3,4,2,4,0
1,55,combine,A,7,4,0,3,7,0
1,55,combine,A,8,4,4,4,0,0
1,55,combine,B,1,0,0,3,3,0
1,55,combine,B,2,0,2,1,0,1
1,55,combine,B,3,2,1,3,3,0
1,55,combine,B,4,2,3,3,1,0
1,55,combine,B,5,3,2,3,4,0
1,55,combine,B,6,3,4,2,0,0
1,55,combine,B,7,4,0,3,9,0
1,55,combine,B,8,4,4,4,4,0
1,63,combine,A,1,0,0,3,3,0
1,63,combine,A,2,0,2,1,3,0
1,63,combine,A,3,2,1,3,5,1
1,63,combine,A,4,2,3,3,7,0
1,63,combine,A,5,3,2,3,5,0
1,63,combine,A,6,3,4,2,8,0
1,63,combine,A,7,4,0,3,6,0
1,63,combine,A,8,4,4,4,4,0
1,63,combine,B,1,0,0,3,3,0
1,63,combine,B,2,0,2,1,0,1
1,63,combine,B,3,2,1,3,3,0
1,63,combine,B,4,2,3,3,1,0
1,63,combine,B,5,3,2,3,3,0
1,63,combine,B,6,3,4,2,1,0
1,63,combine,B,7,4,0,3,6,0
1,63,combine,B,8,4,4,4,3,0
1,72,combine,A,1,0,0,3,0,1
1,72,combine,A,2,0,2,1,2,0
1,72,combine,A,3,2,1,3,6,0
1,72,combine,A,4,2,3,3,6,0
1,72,combine,A,5,3,2,3,9,0
1,72,combine,A,6,3,4,2,6,0
1,72,combine,A,7,4,0,3,12,1
1,72,combine,A,8,4,4,4,16,0
1,72,combine,B,1,0,0,3,0,1
1,72,combine,B,2,0,2,1,0,1
1,72,combine,B,3,2,1,3,5,1
1,72,combine,B,4,2,3,3,3,1
1,72,combine,B,5,3,2,3,7,1
1,72,combine,B,6,3,4,2,2,1
1,72,combine,B,7,4,0,3,12,1
1,72,combine,B,8,4,4,4,12,1
1,73,combine,A,1,0,0,3,0,1
1,73,combine,A,2,0,2,1,3,0
1,73,combine,A,3,2,1,3,6,0
1,73,combine,A,4,2,3,3,6,0
1,73,combine,A,5,3,2,3,9,0
1,73,combine,A,6,3,4,2,6,0
1,73,combine,A,7,4,0,3,12,1
1,73,combine,A,8,4,4,4,5,0
1,73,combine,B,1,0,0,3,3,0
1,73,combine,B,2,0,2,1,1,0
1,73,combine,B,3,2,1,3,5,1
1,73,combine,B,4,2,3,3,3,1
1,73,combine,B,5,3,2,3,7,1
1,73,combine,B,6,3,4,2,2,1
1,73,combine,B,7,4,0,3,12,1
1,73,combine,B,8,4,4,4,4,0
1,74,combine,A,1,0,0,3,3,0
1,74,combine,A,2,0,2,1,1,0
1,74,combine,A,3,2,1,3,3,0
1,74,combine,A,4,2,3,3,2,0
1,74,combine,A,5,3,2,3,3,0
1,74,combine,A,6,3,4,2,2,1
1,74,combine,A,7,4,0,3,12,1
1,74,combine,A,8,4,4,4,4,0
1,74,combine,B,1,0,0,3,3,0
1,74,combine,B,2,0,2,1,0,1
1,74,combine,B,3,2,1,3,2,0
1,74,combine,B,4,2,3,3,0,0
1,74,combine,B,5,3,2,3,1,0
1,74,combine,B,6,3,4,2,0,0
1,74,combine,B,7,4,0,3,12,1
1,74,combine,B,8,4,4,4,0,0
1,75,combine,A,1,0,0,3,3,0
1,75,combine,A,2,0,2,1,1,0
1,75,combine,A,3,2,1,3,3,0
1,75,combine,A,4,2,3,3,5,0
1,75,combine,A,5,3,2,3,3,0
1,75,combine,A,6,3,4,2,4,0
1,75,combine,A,7,4,0,3,5,0
1,75,combine,A,8,4,4,4,6,0
1,75,combine,B,1,0,0,3,3,0
1,75,combine,B,2,0,2,1,0,1
1,75,combine,B,3,2,1,3,2,0
1,75,combine,B,4,2,3,3,0,0
1,75,combine,B,5,3,2,3,1,0
1,75,combine,B,6,3,4,2,0,0
1,75,combine,B,7,4,0,3,5,0
1,75,combine,B,8,4,4,4,0,0
1,77,combine,A,1,0,0,3,0,1
1,77,combine,A,2,0,2,1,2,0
1,77,combine,A,3,2,1,3,3,0
1,77,combine,A,4,2,3,3,3,1
1,77,combine,A,5,3,2,3,3,0
1,77,combine,A,6,3,4,2,1,0
1,77,combine,A,7,4,0,3,15,0
1,77,combine,A,8,4,4,4,8,0
1,77,combine,B,1,0,0,3,3,0
1,77,combine,B,2,0,2,1,0,1
1,77,combine,B,3,2,1,3,5,1
1,77,combine,B,4,2,3,3,3,1
1,77,combine,B,5,3,2,3,7,1
1,77,combine,B,6,3,4,2,2,1
1,77,combine,B,7,4,0,3,15,0
1,77,combine,B,8,4,4,4,12,1
1,81,combine,A,1,0,0,3,3,0
1,81,combine,A,2,0,2,1,3,0
1,81,combine,A,3,2,1,3,5,1
1,81,combine,A,4,2,3,3,5,0
1,81,combine,A,5,3,2,3,5,0
1,81,combine,A,6,3,4,2,4,0
1,81,combine,A,7,4,0,3,5,0
1,81,combine,A,8,4,4,4,6,0
1,81,combine,B,1,0,0,3,3,0
1,81,combine,B,2,0,2,1,0,1
1,81,combine,B,3,2,1,3,2,0
1,81,combine,B,4,2,3,3,0,0
1,81,combine,B,5,3,2,3,2,0
1,81,combine,B,6,3,4,2,0,0
1,81,combine,B,7,4,0,3,3,0
1,81,combine,B,8,4,4,4,0,0
1,82,combine,A,1,0,0,3,0,1
1,82,combine,A,2,0,2,1,0,1
1,82,combine,A,3,2,1,3,6,0
1,82,combine,A,4,2,3,3,6,0
1,82,combine,A,5,3,2,3,6,0
1,82,combine,A,6,3,4,2,6,0
1,82,combine,A,7,4,0,3,12,1
1,82,combine,A,8,4,4,4,16,0
1,82,combine,B,1,0,0,3,0,1
1,82,combine,B,2,0,2,1,0,1
1,82,combine,B,3,2,1,3,5,1
1,82,combine,B,4,2,3,3,3,1
1,82,combine,B,5,3,2,3,7,1
1,82,combine,B,6,3,4,2,2,1
1,82,combine,B,7,4,0,3,12,1
1,82,combine,B,8,4,4,4,12,1
1,84,combine,A,1,0,0,3,3,0
1,84,combine,A,2,0,2,1,1,0
1,84,combine,A,3,2,1,3,5,1
1,84,combine,A,4,2,3,3,5,0
1,84,combine,A,5,3,2,3,5,0
1,84,combine,A,6,3,4,2,4,0
1,84,combine,A,7,4,0,3,5,0
1,84,combine,A,8,4,4,4,6,0
1,84,combine,B,1,0,0,3,3,0
1,84,combine,B,2,0,2,1,0,1
1,84,combine,B,3,2,1,3,2,0
1,84,combine,B,4,2,3,3,0,0
1,84,combine,B,5,3,2,3,1,0
1,84,combine,B,6,3,4,2,0,0
1,84,combine,B,7,4,0,3,5,0
1,84,combine,B,8,4,4,4,0,0
1,85,combine,A,1,0,0,3,3,0
1,85,combine,A,2,0,2,1,3,0
1,85,combine,A,3,2,1,3,4,0
1,85,combine,A,4,2,3,3,6,0
1,85,combine,A,5,3,2,3,5,0
1,85,combine,A,6,3,4,2,7,0
1,85,combine,A,7,4,0,3,4,0
1,85,combine,A,8,4,4,4,8,0
1,85,combine,B,1,0,0,3,3,0
1,85,combine,B,2,0,2,1,0,1
1,85,combine,B,3,2,1,3,5,1
1,85,combine,B,4,2,3,3,6,0
1,85,combine,B,5,3,2,3,7,1
1,85,combine,B,6,3,4,2,2,1
1,85,combine,B,7,4,0,3,12,1
1,85,combine,B,8,4,4,4,12,1
1,86,combine,A,1,0,0,3,0,1
1,86,combine,A,2,0,2,1,2,0
1,86,combine,A,3,2,1,3,6,0
1,86,combine,A,4,2,3,3,6,0
1,86,combine,A,5,3,2,3,9,0
1,86,combine,A,6,3,4,2,6,0
1,86,combine,A,7,4,0,3,12,1
1,86,combine,A,8,4,4,4,16,0
1,86,combine,B,1,0,0,3,0,1
1,86,combine,B,2,0,2,1,0,1
1,86,combine,B,3,2,1,3,5,1
1,86,combine,B,4,2,3,3,3,1
1,86,combine,B,5,3,2,3,7,1
1,86,combine,B,6,3,4,2,2,1
1,86,combine,B,7,4,0,3,12,1
1,86,combine,B,8,4,4,4,12,1
1,90,combine,A,1,0,0,3,3,0
1,90,combine,A,2,0,2,1,1,0
1,90,combine,A,3,2,1,3,6,0
1,90,combine,A,4,2,3,3,6,0
1,90,combine,A,5,3,2,3,9,0
1,90,combine,A,6,3,4,2,5,0
1,90,combine,A,7,4,0,3,12,1
1,90,combine,A,8,4,4,4,9,0
1,90,combine,B,1,0,0,3,3,0
1,90,combine,B,2,0,2,1,0,1
1,90,combine,B,3,2,1,3,5,1
1,90,combine,B,4,2,3,3,3,1
1,90,combine,B,5,3,2,3,7,1
1,90,combine,B,6,3,4,2,2,1
